temp,rain,wind_speed,wind_degree,wind_direction
14.6,0,1,356.3,N
14.6,0,0.7,1.6,N
14.2,0,0.9,341,NNW
13.1,0,0.6,334.6,NNW
13,0,1.2,348.1,NNW
13.1,0,1.4,352.5,N
12.7,0,0.7,334.6,NNW
13.1,0,0.4,344.4,NNW
13.9,0,1.7,11,N
15.5,0,0.9,226.8,SW
16.9,0,0.5,167,SSE
17.8,0,1,314.1,NW
18.7,0,1.6,39.4,NE
18.9,0,1,295.9,WNW
19.9,0,1.3,107.6,ESE
19.8,0,2.3,37.9,NE
19.7,0,2,41.7,NE
19.2,0,2.1,28.8,NNE
16.3,0.5,0.8,351.2,N
15.6,1,1.4,351,N
16.4,1,1.9,21.8,NNE
16.3,2,2.8,358.7,N
17.7,2,1.7,87.6,E
17.2,3,0.9,171.7,S
17.7,3.5,1,42.1,NE
17.8,1,2.3,37.3,NE
17.8,3.5,1.5,359.3,N
17.8,8.5,1.6,1.7,N
18,9,0.9,14.5,NNE
18.1,11,1.3,2.6,N
18.1,14,1.4,346.4,NNW
17.7,18.5,0.9,179.3,S
18.1,18.5,0.6,237.8,WSW
18.3,19,1.5,304.9,NW
18.3,19,1.5,311.8,NW
20.2,19,1.4,230.3,SW
20.8,19,1.7,194.2,SSW
22.6,19,1.2,256.6,WSW
22.7,19,2.6,319.1,NW
23.1,19,2.4,319.9,NW
22.4,19,2.7,312.9,NW
22.3,19,1.9,339,NNW
21.8,19,0.5,256.7,WSW
21.3,19,0.6,263.1,W
21.4,19,1.1,337.5,NNW
20,19,1.3,319.4,NW
20.4,19,0.7,339.6,NNW
19.4,19,1.2,346.6,NNW
20,19,1,13.5,NNE
19.7,0,0.5,7.6,N
19.4,0,0.5,149.6,SSE
19.1,0,0.9,22.2,NNE
17.9,0,1.1,343.5,NNW
18.1,0,0.9,345.9,NNW
18,0,1.9,16.8,NNE
18.2,0,0.9,333.4,NNW
19.5,0,0.7,135.3,SE
21,0,0.3,355.6,N
21.8,0,1.8,46.3,NE
24,0,2.7,106.8,ESE
23.6,0,2.5,70.1,ENE
23.1,0,4.5,95.8,E
23.8,0,4.3,85.1,E
23.2,0,4,82.3,E
21.9,0,5.3,85.8,E
20.5,0,5.2,78.7,ENE
19.3,0,4.5,75,ENE
18.7,0,3.8,75.9,ENE
18.3,0,3.9,83.9,E
17.9,0,3.5,82.1,E
17.7,0,3.1,84.3,E
17.5,0,3.4,77,ENE
17.5,0,3.5,89.4,E
17.5,0,3,92.8,E
17.4,0,2.3,92.3,E
17.4,0,2.1,77,ENE
17.3,0,1.7,98.7,E
17.3,0,1.7,59.9,ENE
17.2,0,2.3,103.7,ESE
17,0,1.4,23.5,NNE
17.7,0,2.6,76.6,ENE
19.3,0,3.3,95.2,E
19.1,0,5,91.4,E
20.4,0,4.5,71.8,ENE
20.9,0,5.1,103.6,ESE
21.4,0,4.8,117.9,ESE
22.2,0,4.2,81.8,E
