temp,rain,wind_speed,wind_degree,wind_direction
20.4,0,2.7,55.7,NE
18.9,0,0.8,1.7,N
17.7,0,1.3,340.8,NNW
17.9,0,1.1,311.8,NW
17.5,0,0.4,336.4,NNW
18.1,0,0.7,335.6,NNW
17.4,0,1,303.1,WNW
18.1,0,1.1,276.8,W
20.6,0,0.6,310.2,NW
23.4,0,1.3,87.6,E
23.9,0,3.3,106.6,ESE
26.2,0,3.9,76,ENE
26.8,0,3.2,80.2,E
25.9,0,1.9,78.2,ENE
25.9,0,3.5,78.8,E
26.7,0,3,118,ESE
26,0,4.7,89,E
25.8,0,3.9,88.4,E
23.7,0,5.5,97.6,E
22.2,0,4,103,ESE
21.3,0,4.7,82,E
20.7,0,4.3,87.4,E
20.4,0,3.7,93.5,E
19.8,0,2.8,87.4,E
18.7,0,0.8,2.5,N
16.6,0,1.4,345.5,NNW
16.4,0,2.1,2,N
15.8,0,1,351.3,N
14.8,0,1.3,346.9,NNW
15.2,0,1,351.8,N
15,0,0.8,337.8,NNW
17.5,0,0,0,N
19.1,0,1.2,215.4,SW
20.8,0,0.7,312.3,NW
22.6,0,1.5,145.5,SE
25.3,0,2.4,38,NE
26.6,0,2.6,20.3,NNE
25.1,0,2.6,310.6,NW
24.8,0,2.2,334.1,NNW
25.5,0,1.8,83.8,E
26,0,2.1,115,ESE
24.2,0,3.1,111.7,ESE
23.6,0,3.3,98.1,E
22.5,0,3.4,95.2,E
21.7,0,3.8,84.6,E
21.1,0,3.9,98.5,E
20.5,0,3.6,106.1,ESE
19.8,0,2.5,82.7,E
19.4,0,1.6,93.4,E
17.5,0,1.3,353.8,N
16.5,0,1,5.7,N
16.2,0,0.3,13.3,NNE
15.8,0,0.9,342.2,NNW
15.6,0,0.5,351.4,N
15.2,0,0.3,291.6,WNW
17.2,0,0.8,40.3,NE
19.3,0,1,20.2,NNE
21.6,0,1.3,274.8,W
24.2,0,1.2,39.9,NE
25.6,0,2.4,122.1,ESE
26.5,0,3.8,114.1,ESE
27.1,0,3.5,99.1,E
26.5,0,2.2,73.6,ENE
27.7,0,3.7,92.5,E
28.5,0,3.5,64.1,ENE
26.8,0,3.1,99.7,E
25.3,0,4,73.6,ENE
24.2,0,4.3,101.1,E
23.3,0,3.5,91.6,E
22.2,0,4,81.5,E
21.4,0,2.6,86.9,E
21.1,0,2.8,85.9,E
20.5,0,2.1,110.9,ESE
20,0,1.5,83.4,E
19.9,0,1.4,74.5,ENE
18.9,0,2.1,4.8,N
18,0,1.3,340.3,NNW
17.8,0,1.3,358.4,N
17.5,0,1.5,351.7,N
18.6,0,2.1,0.9,N
19.9,0,1.4,26.4,NNE
21.8,0,0.7,296.6,WNW
23,0,1.5,324.9,NW
26.3,0,2.7,122.1,ESE
25.7,0,2.5,114.1,ESE
26.5,0,4.1,92.3,E
27.6,0,3.7,115.5,ESE
28.7,0,3.1,100.2,E
26.9,0,3,72.3,ENE
27.2,0,3.9,72.8,ENE
25.2,0,3.4,92.5,E
24.2,0,3.2,91,E
23.6,0,4.6,83.9,E
22.7,0,2.5,79.9,E
22.4,0,2.8,84.9,E
21.9,0,2.8,78.6,ENE
21.4,0,2.9,82.8,E
21.1,0,2,89.5,E
21,0,2.2,81.5,E
19.8,0,2,15.4,NNE
18.9,0,1.7,14,NNE
19,0,1.8,10.4,N
19.2,0,2.6,353.6,N
20.2,0,2.5,354.9,N
20.7,0,2,331.6,NNW
22.8,0,1.9,26,NNE
22.9,0,2.2,14.3,NNE
24,0,1.8,80.3,E
22.4,0,2.6,252.5,WSW
22.2,0,1.4,265.8,W
23,0,2.2,289.7,WNW
22.1,0,2.5,294.9,WNW
20.3,0.5,2.4,351.1,N
19.6,1.5,1.3,313.7,NW
19.8,1.5,0.5,215.9,SW
20.2,1.5,0.7,267.7,W
20,1.5,0.2,321.4,NW
20,1.5,0.9,244.8,WSW
19.9,2,0.2,299,WNW
19.9,2,0.4,308.4,NW
20,2,0.2,284,WNW
20,0,0.9,315,NW
19.8,0,0.1,248.8,WSW
19.9,0,0,0,N
19.8,0.5,0.6,313.8,NW
19.8,0.5,0.8,306.7,NW
19.8,0.5,0.6,304.3,NW
19.9,0.5,1.8,321.8,NW
20.4,1,0.6,237.3,WSW
20.9,1,1.1,244.2,WSW
21.1,1,1.2,296.6,WNW
21.7,1,1,261.3,W
23.5,1,1.3,263.9,W
23.7,1,1,232.9,SW
24,1,1.2,293.7,WNW
24.3,1,1.2,287.2,WNW
23.7,1,1.3,255.7,WSW
23.1,1,1.8,260,W
21.2,1.5,2.5,290.1,WNW
20.8,2.5,1.8,326.1,NW
18.4,3.5,4.1,297,WNW
18.5,4,0.1,265.4,W
18.4,5,1.6,285.3,WNW
18.5,6,0.8,253.9,WSW
18.1,6.5,0.9,273.2,W
18.1,0.5,1,220.2,SW
17.7,0.5,0.6,247.8,WSW
17.7,0.5,1.6,243.8,WSW
17.8,0.5,1.2,245.7,WSW
17.8,0.5,0.7,272.1,W
18,0.5,1.1,237.9,WSW
18.4,0.5,1.3,257.6,WSW
19.5,0.5,1.6,253.8,WSW
20.6,0.5,1,262.8,W
21.2,0.5,1.8,252.1,WSW
21.9,0.5,1.4,277.3,W
23.8,0.5,2.8,292.8,WNW
25.6,0.5,2.2,293.7,WNW
27.3,0.5,1.6,24.6,NNE
28.1,0.5,2.9,329.8,NNW
27.4,0.5,3.4,326.6,NNW
26.5,0.5,1.7,327.2,NNW
25.8,0.5,0.9,301.7,WNW
24,0.5,2,283.3,WNW
23.7,0.5,1.7,292.7,WNW
22.8,0.5,2,261.7,W
21.9,0.5,1.6,241.4,WSW
20.6,0.5,0.7,20.2,NNE
20.3,0.5,0.6,178.5,S
20,0,1.7,230.4,SW
18.7,0,0.2,298.8,WNW
19.5,0,1.2,232.6,SW
19.2,0,2,242.5,WSW
18.9,0,2.4,242.3,WSW
18.6,0,2,242.2,WSW
19.4,0,1.7,230,SW
21.6,0,1.3,272.7,W
22.9,0,2.7,307.6,NW
24.5,0,2.6,317.1,NW
26.4,0,2.8,307.4,NW
26.7,0,3,356.7,N
27.9,0,1.5,288,WNW
28.1,0,2.2,345.5,NNW
28.8,0,2.8,324.7,NW
28.7,0,2.7,320.9,NW
28.4,0,2.8,332.2,NNW
27.1,0,1.9,327.7,NNW
25.7,0,2.4,296.5,WNW
24.9,0,0.2,301.4,WNW
24.2,0,1.6,240.2,WSW
22.8,0,2,244.6,WSW
22.2,0,2,253.7,WSW
20.5,0,0.5,298.7,WNW
19.9,0,0.7,286.2,WNW
19.4,0,0.5,265,W
19.3,0,0.7,235.9,SW
18.3,0,0.6,345.9,NNW
18.7,0,1,239.3,WSW
18.3,0,1.2,282.5,WNW
18.8,0,0,64.5,ENE
21.2,0,0,0,N
22.9,0,1.1,193.2,SSW
26.1,0,1.3,194.3,SSW
26.5,0,1.4,188.4,S
27.5,0,2,266.5,W
28.3,0,1.5,268.8,W
28.9,0,0.9,342.2,NNW
29.5,0,1.4,263.6,W
28.9,0,2.3,259.8,W
30,0,1.3,241.8,WSW
27.7,0,1.4,268.9,W
26.2,0,1.4,258.4,WSW
24.4,0,0.4,193.6,SSW
23.4,0,0.5,257.6,WSW
22.4,0,0.2,285.8,WNW
21.5,0,1,355.7,N
21.2,0,0.6,312,NW
20.3,0,0.6,322,NW
