temp,rain,wind_speed,wind_degree,wind_direction
-1.1,0,2.5,270.9,W
-1.3,0,2.9,358.1,N
-1.8,0,1.4,57.7,ENE
-2.3,0,1,314,NW
-2.9,0,1.3,328.2,NNW
-3.3,0,0.8,243.9,WSW
-2.9,0,1.5,262.7,W
-3.4,0,1.1,264.5,W
-2.2,0,1.1,263.9,W
-1.7,0,2.6,328.7,NNW
-0.5,0,1.4,347,NNW
-0.1,0,5.4,346.4,NNW
1.4,0,3.9,344,NNW
2.6,0,3.7,318,NW
3.1,0,2.5,346.2,NNW
3.8,0,1.9,249.1,WSW
3.9,0,1.3,282.1,WNW
2.4,0,1.9,323.1,NW
1.3,0,1,331.3,NNW
1.2,0,0.7,315.7,NW
0.6,0,1.6,304.7,NW
0.5,0,1.8,258.9,W
-0.3,0,0.7,247.7,WSW
-2.5,0,1.1,343.4,NNW
-2.6,0,0.7,23.1,NNE
-2.2,0,0.7,330.5,NNW
-1.6,0,1.8,243.1,WSW
-2.4,0,1,145.5,SE
-3,0,0.7,316.6,NW
-2.9,0,0.6,257.2,WSW
-3.1,0,1.1,240.5,WSW
-4,0,0.5,30.5,NNE
-2.4,0,0.4,259.9,W
-0.2,0,1,235.9,SW
1.3,0,1.6,224.4,SW
4.2,0,1.9,214.9,SW
5.2,0,1.3,231,SW
6.2,0,2.7,292,WNW
7,0,2.2,258.6,WSW
7.3,0,1.3,186.1,S
7,0,1.7,252.3,WSW
5.8,0,1.4,249.9,WSW
4.7,0,1.6,274.9,W
4.8,0,1.7,238.8,WSW
2.9,0,0.9,288.8,WNW
3.3,0,1.8,241.6,WSW
2.3,0,0.7,274.5,W
1.1,0,0.7,323.2,NW
1.1,0,1.5,204.8,SSW
-0.2,0,0.7,312.7,NW
-0.7,0,0.3,29.3,NNE
-1.6,0,0.8,257.7,WSW
-2.3,0,1,6.7,N
-2,0,0.7,332.9,NNW
-1.5,0,1.2,205.9,SSW
-2.5,0,0.7,356.9,N
-1,0,1.3,247.4,WSW
0.3,0,1.5,230.7,SW
3.2,0,0.9,119.7,ESE
5.2,0,0.9,28,NNE
8.3,0,1.4,136.2,SE
9.1,0,1.7,250.9,WSW
11.2,0,1.4,262.7,W
11.8,0,1.4,247.8,WSW
11.6,0,1.1,303,WNW
9.8,0,0.4,317.9,NW
8.6,0,0.8,294.7,WNW
8,0,0.5,284.1,WNW
6.8,0,1.9,257.8,WSW
5.2,0,0.4,129.9,SE
5.4,0,0.4,307.4,NW
5.2,0,2,2.1,N
4.8,0,1.7,230.7,SW
4.1,0,0.9,88.4,E
4.3,0,0.6,335.9,NNW
4.5,0,1,205.9,SSW
4.3,0,0.5,118.9,ESE
4.4,0,2.1,227.8,SW
4.2,0,1.6,247.2,WSW
3.2,0,0.5,101.1,E
3.8,0,1.7,248.6,WSW
4.7,0,3.8,299.8,WNW
6.3,0,1.6,335.4,NNW
8,0,2.2,262.6,W
7.8,0,3.2,352.6,N
7.6,0,5.1,355.9,N
7.7,0,3.1,280.9,W
7,0,4.1,351.8,N
5,0,5.1,334.1,NNW
3.2,0,4.6,342.3,NNW
1.4,0,5,353.9,N
0.1,0,3.8,30.6,NNE
