temp,rain,wind_speed,wind_degree,wind_direction
8.6,0,1,210.5,SSW
6.6,0,0.6,316,NW
6.3,0,0.3,351.2,N
6.1,0,0.2,325.7,NW
6.5,0,0.9,225.3,SW
6.1,0,1.6,234.6,SW
5.4,0,1.7,266.7,W
5.7,0,1.9,243.1,WSW
7.8,0,0.5,170.8,S
9.5,0,2.1,220.9,SW
13.2,0,1.9,227.7,SW
15.1,0,2,323.7,NW
17,0,2.8,337,NNW
18.1,0,2.1,352.2,N
17.9,0,2,304.1,NW
18.1,0,2.5,335.2,NNW
18,0,3.2,324.1,NW
16.8,0,1.2,291,WNW
15.6,0,1.4,282.2,WNW
15.3,0,1.5,308.3,NW
14.4,0,1.8,235.8,SW
13.5,0,0.4,241.1,WSW
13,0,1.8,263.1,W
12.2,0,0.8,249,WSW
12.1,0,2.3,229.5,SW
11.3,0,2.6,222.6,SW
10.5,0,1.4,207,SSW
10.3,0,1.9,241.4,WSW
10.3,0,2.3,216.1,SW
10.4,0,2.7,241.9,WSW
10.5,0,2.3,210.6,SSW
11.2,0,2,242.8,WSW
10.9,0,2.5,241.6,WSW
13.3,0,0.4,111.9,ESE
13.7,0,1.9,238.5,WSW
15.8,0,1.6,256.6,WSW
17.3,0,1.4,251.8,WSW
18.9,0,1.4,159.5,SSE
19.3,0,1.7,152.7,SSE
19.6,0,1.1,202.4,SSW
19.8,0,1,199.7,SSW
18.3,0,1.4,256.2,WSW
17.3,0,1.5,252.9,WSW
15.1,0,0.9,327.1,NNW
16.5,0,3.2,285.1,WNW
14.1,0,1.9,236,SW
14.1,0,0.8,236.4,WSW
13.4,0,1.1,245.4,WSW
11.7,0,0.5,320.8,NW
12.3,0,2.6,240.4,WSW
10.4,0,0.5,40.7,NE
10.1,0,0.9,205.7,SSW
10,0,0.4,247.1,WSW
9.5,0,0.8,247.8,WSW
9.2,0,0.9,249.6,WSW
9.3,0,2.2,246.7,WSW
10.2,0,2.3,249.8,WSW
12.9,0,1.6,250.6,WSW
15.1,0,1.6,236.1,SW
17.6,0,1.7,229.3,SW
18.2,0,1.8,212.9,SSW
18.8,0,1.6,219.6,SW
19.1,0,2.1,288.9,WNW
16.9,0,3.7,332.3,NNW
16.9,0,4.1,348.9,N
16.3,0,2,286,WNW
15.6,0,1.1,353.7,N
14.4,0,2.3,282.3,WNW
13.3,0,2.2,324.4,NW
13.3,0,3.2,275.7,W
11.4,0,3.5,320.4,NW
9.8,0,7.3,356.4,N
8.3,0,2,243.7,WSW
8.2,0,3.3,233.2,SW
7.8,0,2.5,245.6,WSW
7.1,0,1.8,42.7,NE
7,0,1,334.2,NNW
6.1,0,1.2,174.5,S
5.4,0,0.9,282.2,WNW
5.9,0,1.9,305.9,NW
6.6,0,2.1,312.5,NW
8.1,0,1.5,305.5,NW
9.1,0,3.2,343.2,NNW
10.8,0,2.8,299.6,WNW
11.9,0,3.2,277.9,W
13.6,0,1.4,56.9,ENE
13.4,0,2.2,322.2,NW
14.1,0,1.5,124.7,SE
13.4,0,2,317.6,NW
12,0,1.8,304.9,NW
10.9,0,1.5,291.9,WNW
10.7,0,1.9,287,WNW
10.3,0,2.6,310.9,NW
8.7,0,1.8,261.8,W
8.2,0,1.6,256.5,WSW
7.6,0,1.5,252.1,WSW
6.7,0,1.9,233.5,SW
5.9,0,1.6,237.3,WSW
6,0,0.9,275.6,W
5.5,0,1.4,284.6,WNW
5,0,1.3,253,WSW
4.6,0,1.7,258.2,WSW
5.9,0,2.4,248.2,WSW
5,0,2.2,276.5,W
6.8,0,1.7,325.2,NW
7.6,0,2.3,317,NW
9.3,0,1.6,320,NW
10.8,0,1.8,265.9,W
12.5,0,2.4,264.6,W
13.8,0,1.4,17.9,NNE
15.2,0,1.9,310.2,NW
16.2,0,0.8,237.5,WSW
15.9,0,1,232.8,SW
13,0,1,296.8,WNW
11.9,0,1.4,302.6,WNW
11.6,0,1.8,235.4,SW
10.4,0,0.3,220.7,SW
8.9,0,1.8,207,SSW
8.3,0,1.8,203.6,SSW
8.1,0,2.2,240,WSW
5.7,0,0.3,291.3,WNW
4.9,0,0.4,1,N
4.4,0,0.5,230.3,SW
4.5,0,0.8,212,SSW
4.5,0,2.4,249.2,WSW
3.7,0,1.6,245.2,WSW
2.4,0,0.8,6.1,N
3.7,0,1.3,227,SW
4.7,0,1.7,240.7,WSW
6.2,0,2.2,235.9,SW
9.6,0,1.4,209.6,SSW
12.8,0,1.9,191.1,S
14.8,0,1.2,204,SSW
15.9,0,1.6,231.5,SW
16.5,0,2.5,268.7,W
17.6,0,1.8,244.3,WSW
17.4,0,2.1,270.5,W
16,0,2.5,263.5,W
15,0,1.2,250,WSW
12.9,0,0.9,26.5,NNE
11.4,0,0.9,292.7,WNW
11.2,0,0.7,271.3,W
9.9,0,0.8,200.7,SSW
9.6,0,1.8,241.7,WSW
8.3,0,0.9,241.6,WSW
8.8,0,3.7,242.5,WSW
6.8,0,0.8,284.7,WNW
6.2,0,0.5,337.8,NNW
6.6,0,0.7,195.8,SSW
5.8,0,0.7,247.2,WSW
6.2,0,1.7,227.9,SW
6.1,0,0.1,332.3,NNW
7,0,1,17.7,NNE
11,0,1.6,215.2,SW
14.3,0,1.8,233.1,SW
15.8,0,2.1,185,S
17.7,0,0.8,186.8,S
18.8,0,1.5,268.5,W
19.1,0,1.5,261.3,W
19.1,0,1.7,253.3,WSW
18.5,0,1.7,253.9,WSW
17.5,0,1.6,283.5,WNW
17.1,0,1.5,249.1,WSW
16.8,0,0.4,265,W
15,0,0.8,345.7,NNW
15.3,0,0.3,330.5,NNW
14.4,0,0.7,354.1,N
13.7,0,0.9,349.9,N
13.2,0,1,0.3,N
13.1,0,0.7,354.8,N
12.9,0,0.6,21.5,NNE
12.7,0,0.1,12.3,NNE
13,0,0.7,196.6,SSW
12.8,0,1.3,270,W
12.9,0,1.7,244.1,WSW
12.7,0,2.2,243.9,WSW
12.9,0,1.5,228.7,SW
15.2,0,1.7,231.7,SW
17,0,3.2,318.3,NW
19.1,0,2.9,250.3,WSW
19.9,0,4.3,341.1,NNW
20.2,0,4.4,345.5,NNW
20.3,0,4.8,348.9,N
20.4,0,3,13.7,NNE
19.4,0,3.5,8.2,N
17.8,0,1.3,192.1,SSW
