temp,rain,wind_speed,wind_degree,wind_direction
3.4,2,0.8,200.9,SSW
3.5,2,2.1,315.4,NW
3.1,2,0.8,199.2,SSW
1.5,2,0.7,274,W
3.4,2,2,256,WSW
3.3,2,3,280.2,W
2.7,2,2.7,270.4,W
2.2,2,3.8,296,WNW
1.7,0,3.6,254.3,WSW
1.4,0,2.9,285.9,WNW
-0.3,0,1.9,352.7,N
-0.6,0,2,342.4,NNW
-0.5,0,4.6,275.8,W
-0.8,0,2.7,249.3,WSW
-1.4,0,1.7,182.1,S
-1.6,0,2.4,239.7,WSW
-1.8,0,2.7,224.8,SW
-1.1,0,2.8,267.2,W
-0.2,0,2,213.3,SSW
1.2,0,4,270.1,W
1.4,0,3.7,276.2,W
1.5,0,4.5,267,W
2.2,0,5.2,274.2,W
1.8,0,3.3,277,W
0.8,0,3.9,267.2,W
0.2,0,4.3,275.6,W
-0.4,0,2.4,279,W
-0.6,0,2.9,263.1,W
-1.3,0,1.9,267.9,W
-1.7,0,1.5,262.4,W
-1.4,0,1.4,251.8,WSW
-1.8,0,0.5,322.4,NW
-0.4,0,1.8,237.1,WSW
-0.2,0,1.9,228.2,SW
-0.5,0,2.3,256.5,WSW
-1,0,1.6,236.9,WSW
-1.2,0,1.8,251,WSW
-1.7,0,2.2,265.8,W
-3.2,0.5,2.4,348.9,N
-2.5,0.5,0.9,127.9,SE
-2.5,0.5,1.7,42.4,NE
-1.9,0.5,2.7,281.8,WNW
-1.9,0.5,4.5,3.8,N
-1.5,0.5,2.4,329.7,NNW
-1.1,0.5,3.3,267.6,W
-0.8,0.5,3.4,317.6,NW
-1.6,0.5,5.8,357.4,N
-2.3,0.5,2.7,345.1,NNW
-2.6,0.5,4.5,346.3,NNW
-4.4,0.5,4.3,344.5,NNW
-4.9,0.5,2.1,250.4,WSW
-5,0.5,1.6,227.7,SW
-5.6,0.5,2,240.1,WSW
-6.4,0.5,0.9,133.9,SE
-7,0.5,1.3,7.1,N
-7.4,0.5,1.3,141.3,SE
-7.5,0,2.4,258.9,W
-8.4,0,1,255.4,WSW
-8.8,0,1.1,273.5,W
-8.8,0,0.8,13.6,NNE
-9.5,0,0.7,180.3,S
-9.3,0,1,222.6,SW
-9.7,0,1.7,262,W
-9.7,0,1.4,269.5,W
-8.5,0,2.9,268.6,W
-7.3,0,2.9,263.5,W
-6.6,0,4,265.9,W
-5.2,0,3.9,271.2,W
-3.9,0,3.1,283,WNW
-3.7,0,3.4,351.2,N
-4.1,0,4.9,354.9,N
-4,0,3.1,277.3,W
-4.9,0,3.5,349.8,N
-5.9,0,2.2,321.7,NW
-6.7,0,2.5,314.1,NW
-7.2,0,2.2,340.2,NNW
-7.9,0,0.7,342,NNW
-8.2,0,2.8,350.9,N
-9.6,0,1,5.5,N
-9.2,0,1.4,269.9,W
-10.4,0,1.5,279.6,W
-10.1,0,1.5,303.9,NW
-10.7,0,1.4,284.7,WNW
-10.7,0,0.9,267,W
-11,0,0.5,159.9,SSE
-10.4,0,3,1.5,N
-10.6,0,1.7,24,NNE
-10.4,0,2.5,317.3,NW
-9,0,1.9,352,N
-8.3,0,3.8,6.5,N
-6.9,0,2.3,3.2,N
-6,0,3.4,9.5,N
-4.8,0,4.5,2.1,N
-4.1,0,4.4,358.2,N
-3.7,0,3.5,7.8,N
-3.6,0,3.9,358.6,N
-4.3,0,3.6,357.8,N
-5.7,0,1.5,293.1,WNW
-6.5,0,0.5,285.1,WNW
-6.8,0,1.1,285.3,WNW
-6,0,1.8,255.5,WSW
-5.8,0,2,257.7,WSW
-6.2,0,1.7,262.1,W
-7.6,0,0.9,315.6,NW
-7.8,0,0.7,265,W
-7.4,0,0.2,296.9,WNW
-7.2,0,2.3,234.1,SW
-7.2,0,1.9,252,WSW
-7.2,0,1.5,251.7,WSW
-7.1,0,1.6,246.9,WSW
-6.8,0,1.4,233.8,SW
-6.9,0,1.6,267.5,W
-5.5,0,0.5,236.9,WSW
-4.3,0,1.3,227.6,SW
-2.5,0,1.7,231.9,SW
0.2,0,2.1,255.5,WSW
2.2,0,1.4,214.8,SW
2.6,0,1.4,329.1,NNW
3.3,0,2,283.4,WNW
2.9,0,2.4,2.7,N
2.3,0,1,278.7,W
1.2,0,1,332.5,NNW
0.7,0,1.4,260.5,W
-0.2,0,0.9,266.9,W
0,0,1.9,237.8,WSW
-1.7,0,0.7,28.8,NNE
-2.5,0,0.9,305.6,NW
-3,0,0.2,329.3,NNW
-2.8,0,1.1,245,WSW
-4,0,0.6,358.1,N
-4.6,0,1.6,352.5,N
-4.6,0,2.4,358.2,N
-4.8,0,1.2,284.1,WNW
-5.7,0,0.4,246.4,WSW
-6.2,0,0.7,265.8,W
-5.8,0,0.8,253.3,WSW
-5.3,0,0.6,344.6,NNW
-2,0,0.6,57.1,ENE
-0.3,0,1.4,245.3,WSW
1.7,0,1,288.5,WNW
3.5,0,0.9,78.5,ENE
5,0,2.7,261.5,W
6.9,0,2,221.6,SW
7.1,0,2.1,243.9,WSW
6,0,0.9,246.5,WSW
5.1,0,1.3,237.2,WSW
3.5,0,0.7,290.4,WNW
1,0,1.1,359.5,N
0.1,0,1.2,346.9,NNW
-0.1,0,1.2,49.4,NE
-0.7,0,1,5.6,N
-0.5,0,0.4,111.2,ESE
0.3,0,2.1,219.8,SW
-1.3,0,1.1,152.3,SSE
-1.2,0,0.9,36.2,NE
-0.2,0,1.9,223.5,SW
-0.5,0,0.8,67.8,ENE
-0.8,0,1.1,239.4,WSW
-0.4,0,1.1,160.8,SSE
-0.7,0,1.6,236.2,SW
1,0,0.5,224.2,SW
4,0,1.2,128.2,SE
7.7,0,1.7,264,W
9.9,0,2.5,261.3,W
11.9,0,1.4,223.7,SW
12,0,2.8,20.7,NNE
12.3,0,2.4,343,NNW
12.5,0,2.1,327.6,NNW
11,0,1.8,334.4,NNW
9.1,0,1.6,345.9,NNW
8.2,0,0.3,136.3,SE
6.9,0,0.4,307.7,NW
5.2,0,1,320.3,NW
4.4,0,1,329.4,NNW
4,0,1.2,141.2,SE
3.2,0,0.2,7.7,N
2.1,0,1.4,4.2,N
1.6,0,0.4,200.5,SSW
0.7,0,0.4,178.3,S
1.2,0,1.3,177.2,S
1.1,0,1.1,282.2,WNW
1.5,0,1,223.2,SW
1.8,0,0.7,54.1,NE
2.6,0,1.1,218.8,SW
4.5,0,0.9,127.1,SE
5,0,0.9,186.9,S
5.6,0,0.8,210.8,SSW
4.7,0,2.5,236.3,WSW
5.5,0,1.2,200.5,SSW
7.3,0,1,120.8,ESE
7.8,0,1,54.1,NE
6.6,0.5,1.5,267.5,W
5.7,2,2.1,213.4,SSW
5.9,3,1.8,7.9,N
5.4,3,1.9,343.6,NNW
4.8,3.5,1.9,339.4,NNW
4.2,5.5,0.4,309.4,NW
4,7,2.3,51.2,NE
4,8,1.7,46.8,NE
4,9,3,38.5,NE
3.9,0.5,1.6,72.9,ENE
4,0.5,1.6,25.8,NNE
3.9,0.5,2.1,342.5,NNW
3.6,1,2.8,10.6,N
3.3,2.5,1.3,291.8,WNW
3.2,3.5,1.2,288.3,WNW
3,4.5,0.7,136.8,SE
2.7,5.5,0.4,253,WSW
2.4,6.5,1.9,293.3,WNW
2.8,8,1.5,252.7,WSW
3.3,9,1.5,261.4,W
3.3,9.5,0.9,230.6,SW
4.1,10,1.9,256.9,WSW
5.5,10,1.8,262,W
5.9,10,1.2,224.1,SW
6.7,10,1.5,342.7,NNW
6.2,10,2,59.4,ENE
5,10,1.4,28.1,NNE
5.4,10,1.2,313.5,NW
5.4,10,1.1,227.1,SW
4.3,10,0.7,273.8,W
3.8,10,1.6,281,W
3.1,10,1.4,234.8,SW
3.9,10,0.3,351.7,N
4.6,0,1.8,277,W
3.3,0,1.4,228,SW
3.1,0,2.3,252.8,WSW
3.2,0,2.6,246.2,WSW
3.9,0,1.5,242.2,WSW
3.3,0,2.5,240.6,WSW
3.3,0,1,202.2,SSW
3.9,0,0.7,261.5,W
4.9,0,1.5,283.9,WNW
5.8,0,1.2,241.1,WSW
6.8,0,1.2,249.1,WSW
7.6,0,1.9,346.3,NNW
8.2,0,1.9,321.4,NW
9.1,0,3,347,NNW
9,0,2.7,0.9,N
9.1,0,3,351.2,N
7.9,0,2.5,332.3,NNW
6.6,0,2.3,347.8,NNW
5.5,0,1.8,326.7,NNW
4.7,0,1.1,305.2,NW
3.7,0,1,296.7,WNW
3.3,0,0.6,326.6,NNW
2.9,0,1.9,307,NW
2.4,0,1.3,298.9,WNW
1.5,0,1.4,254.1,WSW
0.7,0,2,240.2,WSW
-0.1,0,0.5,334.6,NNW
1,0,3.1,299.7,WNW
-0.4,0,2.4,265.4,W
-0.5,0,1.6,274.5,W
-0.1,0,1.3,282.9,WNW
-0.1,0,1,254.8,WSW
1.2,0,0.4,77.7,ENE
3.7,0,1,276.5,W
4.4,0,2.3,288.2,WNW
5.2,0,2.6,271.8,W
6.7,0,1.2,235.2,SW
7,0,1.7,274.7,W
7.3,0,2.5,289.9,WNW
7,0,2.2,304.4,NW
5.9,0,2.3,304.7,NW
4.8,0,1.9,322.3,NW
